cluster_id,cluster_name,connected_date,month,resource,avg_hourly_cost,avg_daily_cost,avg_monthly_cost
b2c4508d-c2ca-4e4e-be3c-3996f5c69886,eks-qa-cd-nv,2024-11-25,2024-12,RAM,0.0027,0.0648,2.01
b2c4508d-c2ca-4e4e-be3c-3996f5c69886,eks-qa-cd-nv,2024-11-25,2024-12,Storage,0.0000,0.0000,0.00
b2c4508d-c2ca-4e4e-be3c-3996f5c69886,eks-qa-cd-nv,2024-11-25,2025-01,CPU,0.0109,0.2616,8.11
b2c4508d-c2ca-4e4e-be3c-3996f5c69886,eks-qa-cd-nv,2024-11-25,2025-01,RAM,0.0015,0.0351,1.09
b2c4508d-c2ca-4e4e-be3c-3996f5c69886,eks-qa-cd-nv,2024-11-25,2025-01,Storage,0.0000,0.0000,0.00
b2c4508d-c2ca-4e4e-be3c-3996f5c69886,eks-qa-cd-nv,2024-11-25,2025-02,CPU,0.0075,0.1797,5.03
b2c4508d-c2ca-4e4e-be3c-3996f5c69886,eks-qa-cd-nv,2024-11-25,2025-02,RAM,0.0010,0.0233,0.65
b2c4508d-c2ca-4e4e-be3c-3996f5c69886,eks-qa-cd-nv,2024-11-25,2025-02,Storage,0.0000,0.0000,0.00
b2c4508d-c2ca-4e4e-be3c-3996f5c69886,eks-qa-cd-nv,2024-11-25,2025-03,CPU,0.0071,0.1699,5.27
b2c4508d-c2ca-4e4e-be3c-3996f5c69886,eks-qa-cd-nv,2024-11-25,2025-03,RAM,0.0009,0.0209,0.65
b2c4508d-c2ca-4e4e-be3c-3996f5c69886,eks-qa-cd-nv,2024-11-25,2025-03,Storage,0.0000,0.0000,0.00
cb66e86a-65ac-4bb8-a206-d53f59bda0fe,eks-qa-front-nv,2024-11-28,2024-11,CPU,0.0167,0.4020,12.06
cb66e86a-65ac-4bb8-a206-d53f59bda0fe,eks-qa-front-nv,2024-11-28,2024-11,RAM,0.0022,0.0533,1.60
cb66e86a-65ac-4bb8-a206-d53f59bda0fe,eks-qa-front-nv,2024-11-28,2024-11,Storage,0.0000,0.0000,0.00
cb66e86a-65ac-4bb8-a206-d53f59bda0fe,eks-qa-front-nv,2024-11-28,2024-12,CPU,0.0231,0.5553,17.21
cb66e86a-65ac-4bb8-a206-d53f59bda0fe,eks-qa-front-nv,2024-11-28,2024-12,RAM,0.0028,0.0669,2.07
cb66e86a-65ac-4bb8-a206-d53f59bda0fe,eks-qa-front-nv,2024-11-28,2024-12,Storage,0.0000,0.0000,0.00
cb66e86a-65ac-4bb8-a206-d53f59bda0fe,eks-qa-front-nv,2024-11-28,2025-01,CPU,0.0205,0.4913,15.23
cb66e86a-65ac-4bb8-a206-d53f59bda0fe,eks-qa-front-nv,2024-11-28,2025-01,RAM,0.0026,0.0615,1.91
cb66e86a-65ac-4bb8-a206-d53f59bda0fe,eks-qa-front-nv,2024-11-28,2025-01,Storage,0.0000,0.0000,0.00
cb66e86a-65ac-4bb8-a206-d53f59bda0fe,eks-qa-front-nv,2024-11-28,2025-02,CPU,0.0130,0.3113,8.72
cb66e86a-65ac-4bb8-a206-d53f59bda0fe,eks-qa-front-nv,2024-11-28,2025-02,RAM,0.0018,0.0424,1.19
cb66e86a-65ac-4bb8-a206-d53f59bda0fe,eks-qa-front-nv,2024-11-28,2025-02,Storage,0.0000,0.0000,0.00
cb66e86a-65ac-4bb8-a206-d53f59bda0fe,eks-qa-front-nv,2024-11-28,2025-03,CPU,0.0067,0.1600,4.96
cb66e86a-65ac-4bb8-a206-d53f59bda0fe,eks-qa-front-nv,2024-11-28,2025-03,RAM,0.0008,0.0202,0.63
cb66e86a-65ac-4bb8-a206-d53f59bda0fe,eks-qa-front-nv,2024-11-28,2025-03,Storage,0.0000,0.0000,0.00
6a058801-d466-4ebc-bbec-aa2256dcbf2b,eks-qa-bff-nv,2024-11-28,2024-11,CPU,0.0171,0.4103,12.31
