ClusterID,Cluster Name,Provider,accountID,Region,Phase 1,Phase 2,CPU Count,WOOP Enabled,% OnDemand Nodes,% Spot Nodes,Fallback Nodes?,First Rebalance,Connected Date,Environment,Evictor,Scheduled Rebalance,WOOP enabled %,Kubernetes version,Extended Support,3rd Party,CastAI Nodes Managed,Provider Nodes Managed,3rd Party Nodes Managed
ce0f8989-a873-43ab-a620-3a946a07d69e,aks-service-dev-001,AKS,mc_rg-aks-dev-001_aks-service-dev-001_eastus,eastus,Yes,Yes,6,Yes,100.0%,0.0%,0.0%,Yes,2024-10-14,Development,Installed (Basic),"Yes: Cron: CRON_TZ=America/Lima 0 0 22 */1 * *, Next: 2025-04-15T03:00:00Z",94.29%,1.31.6,See API,No,0.0%,100.0%,0.0%
edab68f1-8c44-40f4-a5bd-877ec6008308,aks-apim-ext-dev-001,AKS,MC_rg-apim-ext-dev-001_aks-apim-ext-dev-001_eastus,eastus,Yes,Yes,8,Yes,20.0%,80.0%,0.0%,No,2024-10-22,Development,Installed (Basic),"Yes: Cron: CRON_TZ=America/Lima 0 0 22 */1 * *, Next: 2025-04-15T03:00:00Z",92.00%,1.31.6,See API,No,66.7%,33.3%,0.0%
56a2523e-6b20-449d-88a7-be28d561279b,aks-service-ciam-dev-001,AKS,MC_rg-ciam-dev-001_aks-service-ciam-dev-001_eastus,eastus,Yes,Yes,8,Yes,100.0%,0.0%,0.0%,Yes,2024-10-22,Development,Installed (Basic),"Yes: Cron: CRON_TZ=America/Lima 0 0 22 */1 * *, Next: 2025-04-15T03:00:00Z",82.35%,1.31.6,See API,No,0.0%,100.0%,0.0%
5b51dc2f-cf2d-46c3-979b-470bc416fc36,aks-service-biometria-dev-002,AKS,MC_rg-biometria-dev-002_aks-service-biometria-dev-002_eastus,eastus,Yes,Yes,6,Yes,0.0%,100.0%,0.0%,Yes,2024-11-07,Development,Installed (Basic),"Yes: Cron: CRON_TZ=America/Lima 0 0 22 */1 * *, Next: 2025-04-15T03:00:00Z",85.71%,1.31.6,See API,No,100.0%,0.0%,0.0%
accf63ad-1e8c-4e6a-b03e-7942132624c2,aks-hub-prod-001,AKS,MC_rg-hub-prod-001_aks-hub-prod-001_eastus,eastus,Yes,No,8,No,100.0%,0.0%,0.0%,No,,Production,Uninstalled,No,0.00%,Unknown,See API,No,0.0%,100.0%,0.0%
bb056fc2-0308-42ea-9f47-3c611688764f,aks-service-prod,AKS,MC_rg-akscluster-prod_aks-service-prod_eastus,eastus,Yes,No,8,No,100.0%,0.0%,0.0%,No,,Production,Uninstalled,No,0.00%,Unknown,See API,No,0.0%,100.0%,0.0%
c321c95a-4dcc-49f8-a21f-84759d96596a,aks-elk-prod-001,AKS,MC_rg-elk-prod-001_aks-elk-prod-001_eastus,eastus,Yes,No,20,No,100.0%,0.0%,0.0%,No,,Production,Uninstalled,No,0.00%,Unknown,See API,No,0.0%,100.0%,0.0%
cae9199a-8c48-4949-ae2f-e7d543b8522e,aks-service-mensajeria-qa-001,AKS,MC_rg-mensajeria-qa-001_aks-service-mensajeria-qa-001_eastus,eastus,Yes,Yes,8,Yes,0.0%,100.0%,0.0%,Yes,2024-10-24,Staging,Installed (Basic),"Yes: Cron: CRON_TZ=America/Lima 0 0 22 */1 * *, Next: 2025-04-15T03:00:00Z",92.59%,1.31.6,See API,No,100.0%,0.0%,0.0%
3668a8f5-a601-4858-b111-273236a58184,aks-pasivos-landing-prod-001,AKS,MC_rg-pasivos-landing-prod-001_aks-pasivos-landing-prod-001_eastus,eastus,Yes,No,12,No,100.0%,0.0%,0.0%,No,,Production,Uninstalled,No,0.00%,Unknown,See API,No,0.0%,100.0%,0.0%
43a347b8-0fac-449b-a943-a866f92ab97f,aks-service-ciam-prod-001,AKS,MC_rg-ciam-prod-001_aks-service-ciam-prod-001_eastus,eastus,Yes,No,20,No,100.0%,0.0%,0.0%,No,,Production,Uninstalled,No,0.00%,Unknown,See API,No,0.0%,100.0%,0.0%
55bc8052-9c26-4534-82b5-d2897bc93e7e,aks-mbk-dev-001,AKS,MC_rg-mbk-dev-002_aks-mbk-dev-001_eastus,eastus,Yes,Yes,24,Yes,100.0%,0.0%,0.0%,No,2024-11-04,Development,Installed (Basic),"Yes: Cron: CRON_TZ=America/Lima 0 0 22 */1 * *, Next: 2025-04-15T03:00:00Z",78.57%,1.31.6,See API,No,0.0%,100.0%,0.0%
71e2e4ed-18ea-414d-a99b-f2c67aacf1df,aks-pasivos-landing-dev-001,AKS,MC_rg-pasivos-landing-dev-001_aks-pasivos-landing-dev-001_eastus,eastus,Yes,Yes,12,Yes,100.0%,0.0%,0.0%,Yes,2024-10-22,Development,Installed (Basic),"Yes: Cron: CRON_TZ=America/Lima 0 0 22 */1 * *, Next: 2025-04-15T03:00:00Z",3.03%,1.31.6,See API,No,0.0%,100.0%,0.0%
a7c136e7-7a18-40bf-9b09-7023edbaf30e,aks-mch-prod-001,AKS,MC_rg-mch-prod-002_aks-mch-prod-001_eastus,eastus,Yes,No,72,No,100.0%,0.0%,0.0%,No,,Production,Uninstalled,No,0.00%,Unknown,See API,No,0.0%,100.0%,0.0%
